date,category,ad,loc,floor,age,rooms,gross,price
09-10-2024,Daire,Buca Üçkuyular'Da 3+1 İçi Full Yapılı Kimalı D.Gazlı Geniş Lüks Daire,İzmir / Buca / Atatürk Mah.,4. Kat,12 Yaşında,3 + 1,150 m²,27.000
05-10-2024,Daire,Buca Yiğitlerde Bakımlı . Ferah 2+ 1 Kiralık Daire,İzmir / Buca / Yiğitler Mah.,3. Kat,19 Yaşında,2 + 1,90 m²,20.000
10-10-2024,Daire,Parisadan Eşyalı Tınaztepe Kampüse Yakın Kiralık 1+1,İzmir / Buca / Atatürk Mah.,2. Kat,5 Yaşında,1 + 1,55 m²,14.500
11-10-2024,Daire,İzmir Buca Laleli Mah.//Uçanyolyakını//Şok Mar.Sokağı/5yıl.3+1/Daire,İzmir / Buca / Laleli Mah.,Çatı Katı,5 Yaşında,3 + 1,120 m²,25.000
04-10-2024,Daire,"Buca’Da Sıfır, 1+1 Kiralık Daire – Merkezi Konumda, Park Manzaralı",İzmir / Buca / Menderes Mah.,1. Kat,Sıfır Bina,1 + 1,34 m²,13.000
10-10-2024,Daire,Doğalgazlı-Hasanali Yücel İlköğretim Okulu Yakını-Arakat 140 M2,İzmir / Buca / Efeler Mah.,Ara Kat,25 Yaşında,3 + 1,145 m²,25.000
09-10-2024,Daire,Adatepe Mh. Fakülte Yakını ''1+1' Full İkea Eşyalı Kiralık Daire,İzmir / Buca / Adatepe Mah.,Yüksek Giriş,4 Yaşında,1 + 1,65 m²,14.200
04-10-2024,Daire,Buca Kozağaç Mah Çevikbir Meydanı Seyfi Demirsoy Hast Yakın Tadilatlı 3+1 Dublex Geniş Kiralık Daire,İzmir / Buca / Kozağaç Mah.,Giriş Katı,20 Yaşında,3 + 1,160 m²,25.000
11-10-2024,Daire,Kiralık Site İçinde Büyük Arakat Daire,İzmir / Buca / Buca Koop. Mah.,6. Kat,18 Yaşında,3 + 1,150 m²,28.000
27-09-2024,Daire,-Ay Gayrimenkul'Den- Yaylacık Mh. Full Eşyalı 3+1 Kiralık Daire!,İzmir / Buca / Yaylacık Mah.,4. Kat,5 Yaşında,3 + 1,160 m²,35.000
27-09-2024,Daire,Bucanın Merkezi Üçkuyularda Yenilenmiş Binadaki Mükemmel Daire,İzmir / Buca / Kozağaç Mah.,4. Kat,25 Yaşında,3 + 1,141 m²,27.000
05-10-2024,Daire,Bucanın En Gözde Konumunda Site İçi Panaromik Doğa Manzaralı 3+1,İzmir / Buca / Buca Koop. Mah.,7. Kat,16 Yaşında,3 + 1,145 m²,27.000
15-09-2024,Daire,Fırsat Bucada Şirinyer Lisesi Yakını Bakımlı 3+1 Harika Daire,İzmir / Buca / Akıncılar Mah.,4. Kat,15 Yaşında,3 + 1,140 m²,25.000
01-10-2024,Daire,Buca Tınaztepe Yakını Kısmi Eşyalı 3+1 Kiralık Daire,İzmir / Buca / Atatürk Mah.,8. Kat,16 Yaşında,3 + 1,130 m²,38.000
08-10-2024,Daire,Safir'Den Kuruçeşme Mahallesinde Eşyalı Kiralık 1+1 Daire,İzmir / Buca / Kuruçeşme Mah.,Bahçe Katı,4 Yaşında,1 + 1,55 m²,15.000
10-10-2024,Daire,Belediye Yakını İki Kişinin Rahatlıkla Yaşayabileceği Büyük(1+1),İzmir / Buca / Menderes Mah.,3. Kat,3 Yaşında,1 + 1,70 m²,22.500
07-10-2024,Daire,Bozbey Emlak'Tan Buca Fırat Mah. 3+1 130 M2 Kiralık Daire,İzmir / Buca / Fırat Mah.,Ara Kat,20 Yaşında,3 + 1,135 m²,15.000
11-10-2024,Daire,İzmir Buca Gaziemir Sınırın' Da 3+1 120m2 Kiralık Daire,İzmir / Buca / Mustafa Kemal Mah.,1. Kat,9 Yaşında,3 + 1,130 m²,20.000
03-10-2024,Daire,Atatürk Mahallesi 2+1 Kapali Mutfak,İzmir / Buca / Atatürk Mah.,Ara Kat,15 Yaşında,2 + 1,110 m²,15.000
05-10-2024,Daire,Buca Göksu Mah İnkılap İzban Dibi 3+1 120 M2 D.Gazlı,İzmir / Buca / Göksu Mah.,Giriş Katı,21 Yaşında,3 + 1,120 m²,14.000
