category,room,floor,gross,updated,price,location
Daire,3+0,3. Kat,80 m²,9 Ekim,500 TL,İzmir - Buca - Adatepe Mh.
Daire,3+0,3. Kat,80 m²,5 Ekim,450 TL,İzmir - Buca - Adatepe Mh.
Daire,1+1,Düz Giriş (Zemin),90 m²,5 Ekim,12.000 TL,İzmir - Konak - Altıntaş Mh.
Daire,3+1,1. Kat,125 m²,5 Ekim,23.000 TL,İzmir - Buca - Kozağaç Mh.
Daire,3+1,2. Kat,135 m²,5 Ekim,17.500 TL,İzmir - Buca - Dicle Mh.
Daire,3+1,3. Kat,125 m²,5 Ekim,25.000 TL,İzmir - Karşıyaka - Şemikler Mh.
Daire,3+1,2. Kat,135 m²,8 Ekim,27.000 TL,İzmir - Menderes - Kasımpaşa Mh.
Daire,2+1,Bahçe katı,100 m²,5 Ekim,16.000 TL,İzmir - Güzelbahçe - Yelki Mh.
Daire,1+1,Düz Giriş (Zemin),60 m²,5 Ekim,15.000 TL,İzmir - Seferihisar - Atatürk Mh.
Daire,2+1,3. Kat,85 m²,8 Ekim,22.000 TL,İzmir - Bornova - Mevlana Mh.
Daire,2+1,Villa tipi,150 m²,5 Ekim,30.000 TL,İzmir - Seferihisar - Atatürk Mh.
Daire,1+1,3. Kat,60 m²,8 Ekim,23.500 TL,İzmir - Bornova - Mevlana Mh.
Daire,3+1,4. Kat,145 m²,5 Ekim,22.000 TL,İzmir - Karşıyaka - Örnekköy Mh.
Daire,2+1,1. Kat,90 m²,5 Ekim,22.500 TL,İzmir - Bornova - Mevlana Mh.
Daire,3+1,5. Kat,130 m²,5 Ekim,24.000 TL,İzmir - Karşıyaka - Zübeyde Hanım Mh.
Daire,1+1,1. Kat,60 m²,5 Ekim,12.000 TL,İzmir - Buca - Karanfil Mh.
Daire,3+1,Kot 1 (-1). Kat,120 m²,5 Ekim,3.500.000 TL,İzmir - Buca - Aydoğdu Mh.
Daire,3+1,Yüksek giriş,140 m²,5 Ekim,14.000 TL,İzmir - Karabağlar - Günaltay Mh.
Daire,3+1,2. Kat,195 m²,5 Ekim,35.000 TL,İzmir - Konak - Göztepe Mh.
Daire,3+1,3. Kat,165 m²,9 Ekim,23.000 TL,İzmir - Bornova - İnönü Mh.
Daire,3+1,2. Kat,130 m²,5 Ekim,21.000 TL,İzmir - Konak - Altıntaş Mh.
Villa,4+1,,170 m²,8 Ekim,75.000 TL,İzmir - Urla - İskele Mh.
Daire,3+1,3. Kat,150 m²,5 Ekim,22.000 TL,İzmir - Balçova - Eğitim Mh.
Daire,1+1,2. Kat,55 m²,5 Ekim,15.000 TL,İzmir - Çiğli - Balatçık Mh.
Daire,3+1,6. Kat,120 m²,5 Ekim,22.000 TL,İzmir - Çiğli - Evka-5 Mh.
Daire,2+1,3. Kat,120 m²,9 Ekim,19.000 TL,İzmir - Bornova - Evka 3 Mh.
Daire,2+1,4. Kat,80 m²,8 Ekim,16.500 TL,İzmir - Buca - Adatepe Mh.
Daire,2+1,2. Kat,95 m²,5 Ekim,25.000 TL,İzmir - Seferihisar - Çolak İbrahim Bey Mh.
Daire,3+1,2. Kat,125 m²,5 Ekim,26.000 TL,İzmir - Gaziemir - Gazi Mh.
Daire,3+1,2. Kat,160 m²,5 Ekim,35.000 TL,İzmir - Gaziemir - Gazi Mh.
Daire,2+1,2. Kat,120 m²,5 Ekim,26.000 TL,İzmir - Menemen - Kemal Atatürk Mh.
Daire,3+1,2. Kat,115 m²,5 Ekim,27.000 TL,İzmir - Karabağlar - Poligon Mh.
Daire,3+1,5. Kat,120 m²,5 Ekim,18.000 TL,İzmir - Menemen - Mermerli Mh.
Daire,3+1,Yüksek giriş,167 m²,6 Ekim,40.000 TL,İzmir - Balçova - Fevzi Çakmak Mh.
Daire,2+1,Bahçe katı,80 m²,9 Ekim,15.000 TL,İzmir - Dikili - Gazipaşa Mh.
Daire,1 Oda,Yüksek giriş,32 m²,5 Ekim,13.000 TL,İzmir - Çiğli - Balatçık Mh.
Daire,2+1,Düz Giriş (Zemin),80 m²,9 Ekim,20.000 TL,İzmir - Çiğli - Atatürk Mh.
Daire,3+1,4. Kat,150 m²,5 Ekim,27.500 TL,İzmir - Buca - Yenigün Mh.
Daire,2+1,1. Kat,90 m²,5 Ekim,15.000 TL,İzmir - Buca - Kuruçeşme Mh.
Daire,2+1,4. Kat,100 m²,5 Ekim,20.000 TL,İzmir - Karşıyaka - Bostanlı Mh.
Daire,3+0,3. Kat,80 m²,5 Ekim,300 TL,İzmir - Buca - Adatepe Mh.
Daire,3+0,3. Kat,80 m²,5 Ekim,450 TL,İzmir - Buca - Adatepe Mh.
Daire,3+1,3. Kat,120 m²,5 Ekim,35.000 TL,İzmir - Güzelbahçe - Yelki Mh.
Daire,2+1,2. Kat,98 m²,9 Ekim,25.800 TL,İzmir - Karşıyaka - Yalı Mh.
Daire,2+1,Düz Giriş (Zemin),105 m²,9 Ekim,18.000 TL,İzmir - Bayraklı - Osmangazi Mh.
Daire,3+1,3. Kat,120 m²,4 Ekim,20.000 TL,İzmir - Çiğli - Yakakent Mh.
Daire,4+1,3. Kat,180 m²,4 Ekim,60.000 TL,İzmir - Menderes - Görece Cumhuriyet Mh.
Daire,3+1,4. Kat,130 m²,4 Ekim,18.500 TL,İzmir - Torbalı - Torbalı Mh.
